location,latitude,longitude,property_type,option,guests,number_of_bedrooms,amenities,seasonality,base_price,bathrooms,bed_type,beds,neighborhood,guest_type,images,title,description
Walkershire,-30.0716805,-156.619822,Hotel,An entire place,4,5,"['piano', 'TV', 'WiFi', 'beach access', 'dedicated wokplacepool', 'smoke alarm', 'Free parking on premises', 'kitchenSwimming Pool', 'fire extinguisher', 'paid parking on premises', 'Kitchen']",Winter,3339.355492677218,9,Queen,7,Waterfront,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600']",Tough him relationship whether light against project.,Audience discover theory himself his. Federal cost baby state group box compare certain. Drop doctor environment final leg as.
North Jennifer,-65.9970375,-36.710449,Villa,A room,1,2,"['ski-in/ski-out', 'kitchenSwimming Pool', 'excercise eqipment', 'Kitchen', 'smoke alarm', 'first aid kit', 'indore fire place', 'paid parking on premises', 'BBQ grill', 'dedicated wokplacepool', 'beach access', 'TV', 'piano', 'Air Conditioning']",Autumn,4435.880428988166,3,Queen,4,Waterfront,An experienced guest,"['https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",Cell common analysis product book rule.,Another tough young if health. Energy fund offer key design. Same instead form human reality open theory each. More common total.
Tylerchester,76.376870,-140.959919,Farm,A room,1,3,"['outdoor shower', 'TV', 'Air Conditioning', 'BBQ grill', 'piano', 'fire extinguisher', 'indore fire place']",Autumn,2048.59714455783,6,Single,4,Suburb,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Station represent whole like.,Final quite like seat blue such gas. Law pay food activity. Fill attorney degree tough investment public. Develop stand edge prevent part operation deal.
Lake Rhonda,-5.8447995,-56.648200,House,A room,1,3,"['TV', 'excercise eqipment', 'indore fire place', 'smoke alarm', 'piano', 'dedicated wokplacepool', 'kitchenSwimming Pool', 'fire extinguisher', 'Free parking on premises', 'WiFi', 'beach access', 'pool table', 'BBQ grill']",Summer,658.2632549707887,3,Double,5,Waterfront,An experienced guest,"['https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600']",Usually investment challenge wind leader.,Hold movement personal admit statement. Girl hear health up child summer question. True worker beyond consider east born.
Adamhaven,14.388543,-123.995288,Guesthouse,An entire place,5,4,"['outdoor shower', 'carbon monoxide alarm', 'Free parking on premises', 'Air Conditioning', 'kitchenSwimming Pool', 'TV', 'WiFi', 'beach access', 'ski-in/ski-out', 'excercise eqipment', 'first aid kit', 'paid parking on premises', 'fire extinguisher', 'piano', 'Kitchen', 'BBQ grill', 'dedicated wokplacepool', 'indore fire place', 'smoke alarm', 'pool table']",Summer,2525.5847278679944,6,Single,8,Suburb,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",Treat rate me soon season number.,Onto full long image nothing important radio. Two must dinner community trial perhaps method. Measure fly record police reveal black authority. Unit owner various mention decision.
Matthewland,-30.866348,132.661433,Guesthouse,A shared room,5,1,"['TV', 'Free parking on premises', 'fire extinguisher', 'kitchenSwimming Pool', 'smoke alarm', 'paid parking on premises', 'indore fire place', 'carbon monoxide alarm', 'BBQ grill', 'first aid kit', 'pool table', 'beach access', 'ski-in/ski-out', 'excercise eqipment', 'dedicated wokplacepool', 'outdoor shower', 'WiFi', 'piano', 'Kitchen', 'Air Conditioning']",Summer,4279.538559263139,3,Single,5,Waterfront,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Figure meeting position back explain.,Force organization any follow wall. Place lawyer whether would to him make realize.
Jamesland,10.5434835,-73.201931,Apartment,A room,2,1,"['paid parking on premises', 'ski-in/ski-out', 'excercise eqipment', 'kitchenSwimming Pool', 'outdoor shower', 'TV', 'smoke alarm', 'beach access', 'Air Conditioning', 'fire extinguisher', 'indore fire place']",Winter,1436.518369682872,1,Single,3,Suburb,Any Airbnb guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Partner day western another special picture.,Culture lawyer once mind road street plant. Guy teach party wall hundred land industry.
Derekmouth,74.1053455,148.689159,Cabin,An entire place,2,5,"['paid parking on premises', 'ski-in/ski-out', 'outdoor shower']",Autumn,3404.762786231563,8,Single,7,Mountain View,An experienced guest,"['https://picsum.photos/800/600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://dummyimage.com/800x600']",Amount political lose fill beautiful evening address.,Ball well station magazine value forward voice. Hospital thank so street structure. Develop their and network little resource finally. Position police specific shake none section week.
West Meredithbury,-41.357153,-54.093450,Villa,A room,4,1,"['piano', 'outdoor shower', 'paid parking on premises', 'fire extinguisher']",Winter,4095.4298881122845,5,Queen,2,Suburb,An experienced guest,"['https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Practice right role discover past smile various.,May give surface nature theory through represent man. After American former century bank. Area region season scientist skill.
Williamschester,11.6329305,-14.400743,Cabin,An entire place,1,5,"['Free parking on premises', 'carbon monoxide alarm', 'ski-in/ski-out', 'TV', 'Kitchen', 'smoke alarm', 'indore fire place', 'outdoor shower', 'excercise eqipment', 'kitchenSwimming Pool', 'pool table', 'fire extinguisher', 'beach access', 'BBQ grill', 'WiFi']",Summer,1968.0258882176536,9,Single,8,Suburb,An experienced guest,"['https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://dummyimage.com/800x600', 'https://picsum.photos/800/600']",Computer science meet produce.,Image according leader treatment should yes any. Around environmental at maybe wife. Building follow sister matter add good.
Millerhaven,-78.7111395,40.712788,Apartment,An entire place,5,5,['piano'],Summer,4326.255812117886,9,Queen,7,Suburb,An experienced guest,"['https://dummyimage.com/800x600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600', 'https://placekitten.com/800/600']",Foreign this Mr affect for.,Natural time magazine money range. Never other quality.
East Jessicaberg,-64.986914,83.584039,Apartment,An entire place,1,3,"['beach access', 'smoke alarm', 'TV', 'fire extinguisher', 'kitchenSwimming Pool', 'pool table']",Winter,2892.504331727945,5,Double,4,Mountain View,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600', 'https://dummyimage.com/800x600']",Pretty career service admit concern.,American admit ability interest nothing itself family. Everybody no almost customer wait Mrs. Which plant several policy anyone affect per line.
Davisside,-67.615519,-171.478090,Cabin,An entire place,4,5,"['outdoor shower', 'BBQ grill', 'dedicated wokplacepool', 'carbon monoxide alarm', 'Free parking on premises', 'piano', 'smoke alarm', 'first aid kit', 'pool table', 'kitchenSwimming Pool', 'paid parking on premises', 'WiFi']",Summer,917.7819999468583,7,King,7,Waterfront,Any Airbnb guest,"['https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://picsum.photos/800/600', 'https://placekitten.com/800/600']",Financial toward maintain attack room would approach.,Hand surface early read. Test fine rate star message letter argue significant. They special life collection experience.
